Year,i,j,SAV,Water_temp,TSS_pred,TP_pred,TN_pred,Water_depth,Bathymetry_depth,Year_norm
2007,115,98,1,21.27468539066002,6.231057026347176,0.03216372983011066,0.500880346923578,2.6794918032786885,-2.619,0.22727272727272727
2007,110,95,1,21.045017977229886,6.58072232418373,0.03270921840897349,0.4653963998692935,2.0924918032786883,-2.032,0.22727272727272727
2007,109,100,1,21.33306601790131,7.278832466875921,0.032516686093123234,0.46828210158426253,2.5604918032786883,-2.5,0.22727272727272727
2007,105,94,1,20.327893444749176,6.214935662316495,0.033040943112773974,0.43939960980024495,1.5064918032786885,-1.446,0.22727272727272727
2007,104,101,1,20.973761214584602,6.744455001393303,0.03191821426763886,0.4599250594123465,2.4364918032786886,-2.3760000000000003,0.22727272727272727
2007,84,120,1,20.982167580088632,5.671402657618288,0.028980280532211553,0.44277641714596355,3.150491803278688,-3.09,0.22727272727272727
2007,79,125,1,20.315773807588172,5.557783158099065,0.029135667581538686,0.4321445744545733,3.1294918032786887,-3.069,0.22727272727272727
2007,73,124,1,20.619991325941243,8.820795059204102,0.03442686783974288,0.44571264356863305,2.8064918032786883,-2.746,0.22727272727272727
2007,78,130,1,20.16596733937498,5.452447453483206,0.02868024272019746,0.4274000471732656,3.014491803278689,-2.954,0.22727272727272727
2007,73,132,1,20.329301583962362,8.456936132712443,0.03280347692551183,0.44642271614465556,3.1894918032786883,-3.129,0.22727272727272727
2007,69,133,1,20.356270813551106,7.820306394920975,0.03165675779102278,0.4373383922655074,2.7744918032786887,-2.714,0.22727272727272727
2007,67,137,1,20.054880447075014,7.649401367687788,0.03144257595060301,0.4386354421005874,2.817491803278689,-2.7570000000000006,0.22727272727272727
2007,73,143,1,20.482446936310314,6.527138967983058,0.02968455280070422,0.43335485214092695,3.1174918032786887,-3.057,0.22727272727272727
2007,67,143,1,20.34779432171681,8.37828730755165,0.03275145449843563,0.4486321958362079,3.1124918032786884,-3.052,0.22727272727272727
2007,73,148,1,20.131553954765444,7.50296666973927,0.03076090904899308,0.4397386532337939,2.6624918032786886,-2.602,0.22727272727272727
2007,66,150,1,20.235006910855653,7.0044742099574355,0.03020884459990947,0.43349894588110877,3.1574918032786887,-3.097,0.22727272727272727
2007,61,147,1,20.260582126554894,7.754726167585029,0.03182511001092489,0.4402238433478308,2.7414918032786884,-2.681,0.22727272727272727
2007,61,149,1,20.423217280966337,7.245015097446129,0.030400809114340874,0.4358187972522173,2.9354918032786883,-2.875,0.22727272727272727
2007,56,149,1,20.21829484720699,8.261052741379034,0.034141088118318653,0.4261743001273421,2.103491803278689,-2.043,0.22727272727272727
2007,64,155,1,20.61322165317223,6.840101140444396,0.03015395586730027,0.4397148612092753,3.2214918032786883,-3.161,0.22727272727272727
2007,58,156,1,20.724831987599856,7.72616747559094,0.03119922939260475,0.45798510264177794,3.0924918032786883,-3.032,0.22727272727272727
2007,66,161,1,20.645454000254148,7.158660044435595,0.030454598855776865,0.4628104797152222,3.590491803278688,-3.53,0.22727272727272727
2007,60,161,1,20.678308705814548,7.177838364585501,0.030429954167272222,0.4705892161267703,3.3464918032786883,-3.286,0.22727272727272727
2007,54,168,1,21.03791257201648,7.378679510022773,0.030996361869524737,0.4654409958690893,3.747491803278688,-3.687,0.22727272727272727
2007,48,168,1,20.39216646600942,10.621121586346236,0.0385070625142973,0.45530096136155673,1.8104918032786885,-1.75,0.22727272727272727
2007,42,179,1,20.03943027433802,14.064272716397145,0.04156841557534015,0.4973804828573446,0.9174918032786885,-0.857,0.22727272727272727
2007,42,185,1,20.637280620512414,9.018783991454077,0.03285757397286228,0.47755533994221294,2.5584918032786885,-2.498,0.22727272727272727
2007,41,191,1,20.837586856279216,8.953108248163442,0.0327659365644709,0.4798554558245862,2.7054918032786883,-2.645,0.22727272727272727
2007,41,197,1,20.938147466690815,8.06915593538128,0.031927999322775936,0.4774856083705777,2.457491803278688,-2.397,0.22727272727272727
2007,40,204,1,21.832186605109545,7.59412226911451,0.031099349962639026,0.471958691956567,2.3394918032786887,-2.279,0.22727272727272727
2007,38,204,1,21.40071035604008,7.700935144893458,0.031185233079996266,0.4733429380127641,2.348491803278688,-2.288,0.22727272727272727
2007,40,209,1,21.707376808416647,7.550484891797676,0.030824867336720716,0.4734285957500583,2.9214918032786885,-2.861,0.22727272727272727
2007,111,119,1,20.85984484094088,14.701314394591284,0.03971588113879571,0.5695486630572647,4.061491803278689,-4.001,0.22727272727272727
2007,105,115,1,21.056182001457838,10.440709160976722,0.03471479195429653,0.49794082319150207,2.7874918032786886,-2.727,0.22727272727272727
2007,103,117,1,20.84022008395586,10.98075761951384,0.035142601238655265,0.5234760344028473,2.6714918032786885,-2.611,0.22727272727272727
2007,97,120,1,20.824168971327484,5.095546902203169,0.027848183498030803,0.45438314363604687,2.6624918032786886,-2.602,0.22727272727272727
2007,98,124,1,20.976522461312715,6.113583572575303,0.029284615741401423,0.449642148662786,2.684491803278689,-2.6239999999999997,0.22727272727272727
2007,98,131,1,20.632251051605724,6.195011037294982,0.029320010213089772,0.4261915141441783,3.047491803278689,-2.987,0.22727272727272727
2007,108,138,1,19.892711060946105,6.078461600131676,0.030169785450227925,0.4822805616699281,2.470491803278689,-2.41,0.22727272727272727
2007,102,143,1,20.203673308012917,8.672217118935507,0.03398394383123664,0.47579051334349837,2.8674918032786887,-2.807,0.22727272727272727
2007,97,138,1,20.47342317612445,6.083626997275431,0.029189474728019513,0.4257721734828636,3.1614918032786887,-3.101,0.22727272727272727
2007,97,143,1,20.388487159228717,8.452727724294194,0.03357752385075952,0.4557403829254088,3.255491803278688,-3.195,0.22727272727272727
2007,91,138,1,20.489744639787517,5.817569513789943,0.02872524236435773,0.42518856144342265,3.167491803278689,-3.107,0.22727272727272727
2007,91,143,1,20.606459101692575,6.052122858704114,0.029098178977604774,0.4237678925522038,3.284491803278689,-3.224,0.22727272727272727
2007,96,150,1,20.387110592889005,9.527183438910813,0.03520829392383333,0.48232545129588394,3.1364918032786884,-3.076,0.22727272727272727
2007,88,150,1,20.748135050789255,7.65391788326326,0.031678869740151966,0.4348846561596042,3.485491803278688,-3.425,0.22727272727272727
2007,82,148,1,20.671606525045927,7.1756133642353,0.030523532451909096,0.4333226030967275,2.962491803278689,-2.902,0.22727272727272727
2007,94,159,1,20.60223307375048,10.712706761281998,0.03663703771766092,0.49369918127528956,2.997491803278688,-2.937,0.22727272727272727
2007,90,156,1,20.775739607263784,12.842808449854616,0.03939325698330754,0.49101058479215276,2.707491803278688,-2.647,0.22727272727272727
2007,85,154,1,20.834439918643138,7.248514003440982,0.030963716723146986,0.44562357615252013,3.494491803278689,-3.434,0.22727272727272727
2007,85,162,1,20.492311993583304,7.143228710674848,0.030900599221225646,0.4716085645019031,3.5394918032786884,-3.479,0.22727272727272727
2007,78,156,1,20.818518708963865,7.426165651102535,0.030761517736999713,0.4521133152187848,3.139491803278689,-3.079,0.22727272727272727
2007,90,166,1,20.088554179082152,11.15812500187608,0.037806385944856975,0.4983780857969503,2.6364918032786884,-2.576,0.22727272727272727
2007,84,168,1,20.707933081955208,10.394815671639364,0.036248809490047516,0.49249215057638823,3.381491803278689,-3.321,0.22727272727272727
2007,78,162,1,20.68074900205018,7.31979597591963,0.030808015894450126,0.47472265411595826,2.672491803278689,-2.612,0.22727272727272727
2007,78,167,1,20.885554423097705,6.784662066913042,0.030455794704497836,0.4563871719798104,3.7864918032786887,-3.726,0.22727272727272727
2007,72,167,1,21.01354353545142,6.8176332848971,0.030204107740619143,0.45715050374875305,3.840491803278688,-3.78,0.22727272727272727
2007,81,169,1,20.607546196609245,9.639397832213856,0.0353254815105532,0.48770333997538834,3.856491803278688,-3.796,0.22727272727272727
2007,78,172,1,20.865087462253257,8.232341211350239,0.03206706758527482,0.4728870689868927,3.6624918032786886,-3.602,0.22727272727272727
2007,72,174,1,21.049971643041392,7.36987557958384,0.03190694505073985,0.45958882667979256,3.945491803278688,-3.885,0.22727272727272727
2007,70,179,1,20.913880332571562,8.564573788252034,0.032304066279139676,0.4773050053197829,3.014491803278689,-2.954,0.22727272727272727
2007,66,180,1,20.82791717716905,7.158622663529193,0.03085572648121685,0.4671387550283651,2.646491803278688,-2.586,0.22727272727272727
2007,66,186,1,20.36999397590512,7.292692606566383,0.030735995070856125,0.4666938439744418,3.0964918032786883,-3.036,0.22727272727272727
2007,57,188,1,20.87534471418037,7.020021110284524,0.0302321407943964,0.46644527746028586,5.351491803278689,-5.291,0.22727272727272727
2007,54,198,1,21.19920464812732,7.100944096924828,0.030404677767245494,0.46416903470383314,4.021491803278688,-3.961,0.22727272727272727
2007,48,215,1,20.272920608520508,5.489673849012031,0.02177012898027897,0.5205086469650269,13.16849180327869,-13.108,0.22727272727272727
2007,98,95,0,21.369696554590444,14.17753447860968,0.03866301904447743,0.4934911214914478,3.4564918032786887,-3.396,0.22727272727272727
2007,98,101,0,21.03915861786389,6.457878527094106,0.03085975486357681,0.4684746421751429,2.397491803278689,-2.337,0.22727272727272727
2007,96,102,0,20.72112383607958,9.40042383944402,0.03491904723961822,0.48556966322367306,2.735491803278688,-2.675,0.22727272727272727
2007,98,107,0,21.041142463684082,5.447721817454354,0.028723820524870373,0.4664446589399557,2.4524918032786887,-2.392,0.22727272727272727
2007,92,107,0,21.086159768651743,9.327662765002641,0.0355980502533131,0.4762501281793,2.023491803278689,-1.963,0.22727272727272727
2007,92,113,0,20.949228224207143,6.183451926121946,0.03014841174981633,0.453949473431853,3.771491803278688,-3.711,0.22727272727272727
2007,86,113,0,20.86059037192923,9.698862857505924,0.03637615560752447,0.49102110647764363,2.328491803278688,-2.268,0.22727272727272727
